"method","structure","heavy_tailed","n","p","replication","distance"
"ExtremeCausal","GARCH",FALSE,500,4,60,1
"ExtremeCausal","GARCH",FALSE,500,4,61,1
"ExtremeCausal","GARCH",FALSE,500,4,62,3
"ExtremeCausal","GARCH",FALSE,500,4,63,3
"ExtremeCausal","GARCH",FALSE,500,4,64,2
"ExtremeCausal","GARCH",FALSE,500,4,65,3
"ExtremeCausal","GARCH",FALSE,500,4,66,0
"ExtremeCausal","GARCH",FALSE,500,4,67,2
"ExtremeCausal","GARCH",FALSE,500,4,68,4
"ExtremeCausal","GARCH",FALSE,500,4,69,0
"ExtremeCausal","GARCH",FALSE,500,4,70,3
"ExtremeCausal","GARCH",FALSE,500,4,71,2
"ExtremeCausal","GARCH",FALSE,500,4,72,0
"ExtremeCausal","GARCH",FALSE,500,4,73,2
"ExtremeCausal","GARCH",FALSE,500,4,74,1
"ExtremeCausal","GARCH",FALSE,500,4,75,2
"ExtremeCausal","GARCH",FALSE,500,4,76,2
"ExtremeCausal","GARCH",FALSE,500,4,77,2
"ExtremeCausal","GARCH",FALSE,500,4,78,4
"ExtremeCausal","GARCH",FALSE,500,4,79,2
"ExtremeCausal","GARCH",FALSE,500,4,80,1
"ExtremeCausal","GARCH",FALSE,500,4,81,2
"ExtremeCausal","GARCH",FALSE,500,4,82,1
"ExtremeCausal","GARCH",FALSE,500,4,83,1
"ExtremeCausal","GARCH",FALSE,500,4,84,2
"ExtremeCausal","GARCH",FALSE,500,4,85,2
"ExtremeCausal","GARCH",FALSE,500,4,86,2
"ExtremeCausal","GARCH",FALSE,500,4,87,1
"ExtremeCausal","GARCH",FALSE,500,4,88,3
"ExtremeCausal","GARCH",FALSE,500,4,89,3
"ExtremeCausal","GARCH",FALSE,500,4,90,2
"ExtremeCausal","GARCH",FALSE,500,4,91,1
"ExtremeCausal","GARCH",FALSE,500,4,92,1
"ExtremeCausal","GARCH",FALSE,500,4,93,2
"ExtremeCausal","GARCH",FALSE,500,4,94,1
"ExtremeCausal","GARCH",FALSE,500,4,95,0
"ExtremeCausal","GARCH",FALSE,500,4,96,3
"ExtremeCausal","GARCH",FALSE,500,4,97,0
"ExtremeCausal","GARCH",FALSE,500,4,98,2
"ExtremeCausal","GARCH",FALSE,500,4,99,2
"ExtremeCausal","GARCH",FALSE,500,4,100,2
"ExtremeCausal","GARCH",FALSE,500,7,1,4
"ExtremeCausal","GARCH",FALSE,500,7,2,9
"ExtremeCausal","GARCH",FALSE,500,7,3,3
"ExtremeCausal","GARCH",FALSE,500,7,4,5
"ExtremeCausal","GARCH",FALSE,500,7,5,6
"ExtremeCausal","GARCH",FALSE,500,7,6,8
"ExtremeCausal","GARCH",FALSE,500,7,7,4
"ExtremeCausal","GARCH",FALSE,500,7,8,3
"ExtremeCausal","GARCH",FALSE,500,7,9,4
"ExtremeCausal","GARCH",FALSE,500,7,10,5
"ExtremeCausal","GARCH",FALSE,500,7,11,4
"ExtremeCausal","GARCH",FALSE,500,7,12,5
"ExtremeCausal","GARCH",FALSE,500,7,13,2
"ExtremeCausal","GARCH",FALSE,500,7,14,1
"ExtremeCausal","GARCH",FALSE,500,7,15,9
"ExtremeCausal","GARCH",FALSE,500,7,16,3
"ExtremeCausal","GARCH",FALSE,500,7,17,3
